id,type,name,yearpublished,minplayers,maxplayers,playingtime,minplaytime,maxplaytime,minage,users_rated,average_rating,bayes_average_rating,total_owners,total_traders,total_wanters,total_wishers,total_comments,total_weights,average_weight
1850,boardgame,Wind City,1997,2,5,45,45,45,10,7,7,0,17,0,0,3,3,1,2
1851,boardgame,Mythrole: Merchants,2001,2,6,240,240,240,12,1,2,0,3,1,1,3,0,0,0
1852,boardgame,Insikt,1991,2,6,120,120,120,12,19,3.84211,0,22,1,0,0,11,1,1
1854,boardgame,Foqus,1993,2,6,45,45,45,12,16,4.21875,0,19,0,0,1,4,0,0
1856,boardgame,Geni 2000,1999,2,6,60,60,60,12,13,5,0,23,0,0,0,4,0,0
1858,boardgame,Diamond City,1995,2,6,90,90,90,8,18,3.22222,0,20,1,0,1,5,1,1
1862,boardgame,Avalon,1994,3,6,45,45,45,8,23,5.07826,0,84,9,1,2,10,2,1.5
1863,boardgame,Tatort Titanic,1987,3,6,60,60,60,10,18,3.66667,0,65,3,1,1,11,4,1.5
1864,boardgame,Expedition Robinson,1999,2,5,60,60,60,10,4,5,0,16,0,0,1,2,1,3
1868,boardgame,Conquistador,2001,2,4,60,60,60,8,8,4.875,0,41,4,3,2,2,4,2.25
1870,boardgame,Gold Train,2000,2,6,120,120,120,12,12,4.95833,0,38,1,6,4,6,1,2
1872,boardgame,Hurricane: The Game of the Tropics,1988,2,4,120,120,120,0,4,7.75,0,7,0,2,1,0,0,0
1880,boardgame,Armour Quest: Qustro,1995,2,5,120,120,120,10,2,3,0,6,0,3,2,2,0,0
1882,boardgame,Blazing Camels,2000,3,7,30,30,30,8,19,5.5,0,31,2,1,1,11,3,1
1885,boardgame,How Much for the Camel?,1999,3,9,30,30,30,10,10,5.25,0,25,1,2,2,6,1,2
1889,boardgame,Office Politics,1995,2,6,120,120,120,11,15,5.33333,0,32,3,0,0,7,0,0
1893,boardgame,Traffic Lights,1992,2,2,10,10,10,0,16,5.01875,0,14,0,0,4,8,1,1
1895,boardgameexpansion,Salamis,1999,2,2,360,360,360,12,53,6.93396,5.59713,408,7,20,24,35,16,2.875
1900,boardgameexpansion,Raid on the Mall,2000,2,6,120,120,120,12,5,4.7,0,30,6,4,5,4,0,0
1903,boardgame,Robert Ludlum's Game of Counter Espionage,1988,3,6,60,60,60,0,13,5.53846,0,53,14,1,3,8,3,2.3333
1904,boardgameexpansion,Babylon 5 Component Game System: Reinforcements Pack #1,1998,2,6,120,120,120,10,78,5.92949,5.5324,210,19,14,13,50,7,2.5714
1911,boardgame,Hollywood for Sale,1994,3,6,20,20,20,12,10,5.28,0,36,6,0,0,3,0,0
1914,boardgame,Im 7. Himmel,1989,2,6,60,60,60,8,21,4.33333,0,69,8,0,0,6,2,2
1918,boardgame,REM,1984,2,6,20,20,20,0,0,0,0,2,1,1,0,1,0,0
1921,boardgame,Sovereign of the Seas,1979,2,6,120,120,120,10,11,5.15909,0,38,5,0,1,6,1,2
1928,boardgame,Dark Continent,2000,2,5,180,180,180,12,8,5.5,0,32,0,2,8,5,1,3
1929,boardgame,Bushido Denied,2000,2,2,240,240,240,12,4,7.625,0,26,2,1,2,7,1,4
1930,boardgame,Anti-Monopoly III: Washington-Moskau,1987,2,6,120,120,120,10,5,2.8,0,22,2,1,1,5,1,1
1944,boardgame,Mogelei,1995,3,8,30,30,30,10,20,4.65,0,43,2,1,0,7,1,2
1948,boardgame,Pratmakarna,1999,4,8,45,45,45,12,13,5.53846,0,14,0,0,0,3,1,1
1949,boardgame,Oknd planet,0,2,6,60,60,60,9,16,4.625,0,31,1,0,1,6,2,2.5
1951,boardgame,Online,1995,2,4,30,30,30,9,4,3.25,0,8,0,0,1,2,0,0
1955,boardgame,Star Wars Episode I: Attack on Naboo,1999,2,4,45,45,45,10,15,3.36667,0,23,1,1,3,7,1,1
1966,boardgameexpansion,RoboRally: Radioactive,1998,2,8,120,120,120,12,672,7.53305,6.47896,1241,11,198,237,178,56,2.8393
1967,boardgameexpansion,RoboRally: Grand Prix,1997,2,8,120,120,120,12,610,7.78254,6.54289,1104,10,192,228,151,52,2.6731
1968,boardgameexpansion,RoboRally: Crash and Burn,1997,2,8,120,120,120,12,845,7.80737,6.74294,1566,16,219,258,212,78,2.6538
1971,boardgame,Bump,1990,2,4,20,20,20,0,5,3.6,0,12,1,0,0,4,1,1
1975,boardgame,Stamp,1992,3,6,30,30,30,8,27,5.42963,0,71,7,1,3,6,1,2
1976,boardgame,Beutezug,1989,2,6,30,30,30,6,1,5,0,25,1,1,2,1,1,1
1977,boardgame,Tor,1995,2,2,20,20,20,8,29,5.15517,0,63,5,1,3,11,1,1
1978,boardgame,Rasant,1993,3,5,30,30,30,6,17,5.32353,0,45,1,3,2,8,0,0
1979,boardgame,Da Capo!,1993,2,6,30,30,30,8,19,4.39474,0,48,3,1,1,4,2,1
1980,boardgame,Gold am Yukon,1990,3,6,45,45,45,6,19,4.80526,0,53,2,1,1,5,1,2
1988,boardgame,Outlaw Trail: The Western Game,1972,2,8,60,60,60,0,9,3.77778,0,37,10,1,0,8,0,0
1990,boardgame,The Great Canadian Pie,1977,4,9,120,120,120,10,11,4.90909,0,18,5,3,4,5,2,1.5
1995,boardgame,"Excuses, Excuses",1981,2,6,90,90,90,8,4,4.75,0,17,2,1,1,2,1,1
1999,boardgame,Utmaningen,1995,2,6,90,90,90,9,7,3.71429,0,18,1,0,0,3,0,0
2005,boardgameexpansion,Primordial Soup: Freshly Spiced,1998,3,6,90,90,90,12,688,7.25857,6.3781,1692,43,82,171,232,52,2.8846
2006,boardgame,Jati,1965,2,4,20,20,20,9,16,5.40625,0,46,3,37,47,27,2,1
2007,boardgame,Votum,1987,4,6,0,0,0,14,13,2.84615,0,52,3,0,2,7,1,2
2008,boardgame,Verflixt und Zugesperrt,1998,2,4,0,0,0,10,1,5,0,3,1,0,0,0,0,0
2009,boardgame,Tweedledum: The New Adventures with Alice in Wonderland,1988,2,5,60,60,60,8,9,4.61111,0,43,6,1,2,5,2,1.5
2012,boardgame,Titanic,1998,2,4,60,60,60,7,24,4.54167,0,59,5,0,1,6,2,2
2013,boardgame,Till Eulenspiegel,1987,2,5,15,15,15,5,20,5.195,0,49,3,0,2,7,2,2.5
2015,boardgame,Das Magische Hexagon,1994,2,2,60,60,60,12,5,6.6,0,23,3,2,7,2,1,2
2017,boardgame,Tempo,1974,0,0,0,0,0,8,12,5.33333,0,28,0,3,5,5,0,0
2018,boardgame,Tango,1991,2,6,15,15,15,8,13,3.15385,0,29,2,0,1,2,1,1
2019,boardgame,Talking Stones,1997,3,8,30,30,30,0,13,5.84615,0,42,2,0,2,10,1,1
2020,boardgame,Steinbeisser,1999,2,6,0,0,0,7,11,5.5,0,20,4,1,3,7,0,0
2021,boardgame,Spirit,1990,3,6,45,45,45,10,14,4.82143,0,52,4,0,3,6,0,0
2026,boardgame,Um Kopf und Kragen,1996,3,7,30,30,30,10,21,5.10238,0,40,2,0,1,7,2,1
2027,boardgame,Der Schatz des Pharaos,1996,2,6,30,30,30,8,21,5.7619,0,49,4,2,3,5,2,1
2028,boardgame,Sokrates,1994,2,4,20,20,20,8,20,5.225,0,63,5,0,0,8,3,1.6667
2029,boardgame,Top Secret,1995,2,6,20,20,20,8,19,3,0,55,3,0,0,5,1,1
2030,boardgame,"Twinkle, Twinkle, Little Star",1999,2,4,20,20,20,3,23,5.86957,0,52,8,2,5,14,4,1
2032,boardgame,Now You See It,1975,3,4,60,60,60,0,8,6.15,0,23,2,0,0,4,0,0
2033,boardgame,Reporter,1976,2,4,45,45,45,8,25,3.68,0,82,6,3,1,10,3,1
2034,boardgame,Eye Guess,1966,3,5,60,60,60,10,13,5.82308,0,34,4,0,0,5,1,1
2035,boardgame,The Joker's Wild,1973,3,0,30,30,30,8,14,5.25,0,37,2,0,0,11,1,1
2039,boardgame,Barrier,1975,2,2,20,20,20,8,11,4.59091,0,58,9,1,1,7,0,0
2041,boardgame,They're at the Post,1975,1,100,60,60,60,10,20,6.75,0,59,6,5,3,13,1,2
2045,boardgame,Nomad,2001,2,5,120,120,120,10,17,6.17647,0,47,3,6,9,12,2,3
2046,boardgame,Blue Stones,1987,2,4,120,120,120,12,8,6.4375,0,35,0,5,9,5,0,0
2048,boardgame,Starships,1980,2,4,45,45,45,8,18,5.79167,0,37,3,3,6,9,2,1.5
2050,boardgameexpansion,Life & Death & An American Chainsaw,1987,1,1,90,90,90,10,31,6.33871,5.53721,67,4,14,20,12,4,1.5
2053,boardgameexpansion,The New Dungeon: Miniatures and Game Supplement,1989,1,6,45,45,45,10,47,6.47447,5.54813,83,3,34,44,22,4,2
2054,boardgame,Interaction,1978,1,2,20,20,20,10,19,5.52632,0,41,2,1,3,11,2,2
2056,boardgame,Courier,1976,2,2,20,20,20,10,0,0,0,7,1,1,1,2,0,0
2057,boardgameexpansion,Starship Command II,1995,2,10,45,45,45,10,19,7.02632,0,41,6,11,12,16,2,2.5
2058,boardgameexpansion,Civilization Western Extension Map,1988,2,8,360,360,360,12,689,7.81357,6.61747,1243,38,83,100,274,70,3.1857
2059,boardgame,Airline,1985,1,6,90,90,90,10,17,4.32353,0,51,7,1,1,10,2,1
2062,boardgame,Deal Me In,1988,2,4,45,45,45,10,13,6.30769,0,20,1,2,0,5,0,0
2064,boardgameexpansion,Neues aus dem Wichtelwald,1999,3,5,45,45,45,10,15,5.24667,0,99,9,0,0,10,3,1.6667
2067,boardgame,Double,1996,2,6,30,30,30,10,20,5.45,0,52,2,1,1,6,3,1.6667
2071,boardgame,Bro Crazy,1997,3,5,30,30,30,10,16,4.31875,0,33,3,0,0,7,1,1
2084,boardgame,Sherlock Holmes: The Game of the Great Detective,1956,3,5,90,90,90,0,5,5.8,0,14,0,1,3,1,1,1
2097,boardgame,Middle Sea: Empires of the Feudal Age,1979,2,8,240,240,240,12,21,5.64286,0,82,4,17,15,18,2,2
2101,boardgame,Orbit War,1992,2,2,60,60,60,12,26,5.46538,0,140,17,6,9,20,6,2.5
2107,boardgame,The Guru's Famous Baseball Game,2001,1,32,30,30,30,10,4,5.5,0,5,0,0,0,4,0,0
2108,boardgame,Starlord,1977,2,2,30,30,30,8,16,5.25,0,58,10,1,2,13,3,1.3333
2109,boardgame,The Game of Good Cooking,1989,2,4,60,60,60,0,14,4.95,0,31,3,3,3,2,3,1.3333
2111,boardgame,Nix fr Ungut!,1996,2,5,45,45,45,10,25,6.248,0,49,2,1,2,5,2,1
2117,boardgame,Scoop the Cash,1985,2,25,30,30,30,10,2,2,0,3,1,0,0,0,0,0
2118,boardgame,Illya Kuryakin,1966,2,4,30,30,30,10,7,5.28571,0,15,0,1,2,2,0,0
2124,boardgame,Total Depth,1984,2,5,120,120,120,12,15,6.26667,0,43,4,0,0,7,2,3
2141,boardgame,Time Vectors,1986,2,2,30,30,30,0,4,3.25,0,7,0,0,4,4,0,0
2142,boardgame,GRYB Game System,2001,2,2,30,30,30,8,10,5.5,0,22,1,4,6,5,1,3
2145,boardgame,Domination,1986,2,4,60,60,60,0,26,6.43269,0,58,10,6,4,18,2,3.5
2152,boardgame,Dingus,1999,2,6,30,30,30,10,12,4.58333,0,40,2,0,0,8,1,1
2155,boardgame,Agent of Change,1991,2,4,90,90,90,12,9,5,0,16,1,20,19,8,1,3
2158,boardgame,Finger-Flick Sports: Baseball,1996,2,2,20,20,20,8,7,4.37143,0,14,4,1,0,4,1,1
2167,boardgame,Jackpot Payoff,1979,2,4,45,45,45,12,3,4.66667,0,16,1,0,1,1,0,0
2177,boardgame,Schickeria,1964,3,6,30,30,30,10,16,3.9375,0,58,5,0,0,13,1,1
2182,boardgame,Knallbonbon,1991,4,6,10,10,10,10,2,3.5,0,28,2,0,0,3,0,0
2185,boardgame,Ritter Kunibert's 12er Stich,1987,3,6,15,15,15,10,21,4.19048,0,54,9,0,0,7,2,1
2187,boardgame,Drachenlachen,1984,2,6,30,30,30,8,8,4.875,0,39,3,1,3,6,0,0
2188,boardgame,Hexenstich,1994,2,6,10,10,10,10,17,6.11471,0,23,1,7,5,7,1,1
2191,boardgame,Hyano,2001,2,5,20,20,20,8,13,5.29231,0,49,5,0,0,10,1,1
2202,boardgame,Swahili,1968,2,4,30,30,30,8,18,6.08333,0,58,11,3,5,21,1,1
2204,boardgameexpansion,Kill Doctor Lucky: Craigdarroch,1998,3,10,60,60,60,10,162,6.4142,5.66522,397,13,12,32,56,11,1.5455
